x,y
35.511212851030436,38.1054748596728
2.8118247022341336,56.98282393088574
76.9757683918721,36.50070462526268
93.68407916850381,69.75803133038288
15.10347587588965,22.44525739308966
23.329408755475033,97.09918812817709
94.72900446530727,20.401807389706438
92.00467658738461,85.70453680869215
25.39310293574758,18.22791682680164
86.52989819646642,83.52786614525783
16.21246216650135,48.515348830988636
0.9156424116096629,60.97022422565581
98.03589818302623,68.6716323839378
15.974432059312416,2.582119414871409
95.79858078371323,82.05212054921056
82.48236118862387,64.64639145027624
10.923753891131971,18.607211693096794
28.895589484368934,84.29032400823964
68.7618113224707,91.64737020194733
95.84810042796815,93.44631898388599
19.630843709206292,66.88288066682655
52.71930248163979,39.13460268301032
90.8915881003597,12.841535503162627
78.21998313076516,25.579459256334193
52.01572999102883,16.076190826265858
